,0
258,99.0282051537883
259,94.78448852217029
260,82.94533155964898
261,72.49749367178165
262,97.89757683235355
263,79.56425117569854
264,71.75984275127288
265,85.02487871593434
266,83.42871613924557
267,96.75060030177347
268,104.26558071105335
269,104.77553496500602
270,88.67438871138572
271,83.29188295718457
272,112.40437092688975
273,109.2199570493189
274,100.09906821855328
275,94.04271139334223
276,104.66803171369229
277,100.53995962764029
278,97.73021589387491
279,113.13204436926114
280,96.20479061607885
281,110.24970844321587
282,115.47950600234451
283,110.60040175764452
284,100.1874473300744
285,86.67096658111133
286,109.50566830742541
287,113.07787188761229
288,113.04890838317364
289,89.65840617131592
290,104.0849283880615
291,92.15493557785022
292,114.01305827217367
293,99.99195052380114
294,90.03180838126255
295,109.20883979864352
296,128.46806135999915
297,114.78928076367853
298,74.70459456408344
299,114.45619917597483
300,124.88252138918678
301,97.44023856874396
302,89.63827439360219
303,115.22226650630611
304,115.23327912341827
305,75.36140138101631
306,109.72746630571874
307,104.29948281864787
308,104.10346994337544
309,113.26993726760224
310,104.4495843875044
311,100.75339640680212
312,93.04606502235904
313,108.14498765261465
314,89.95988269092804
315,88.90220069303966
316,77.29620776545605
317,83.42038164890214
318,71.67399272678188
319,104.6626152127919
320,84.05554770408662
321,99.04305624257016
322,111.83810073836952
323,98.30399712921674
324,104.57484958468373
325,75.44478806007263
326,100.23146526999618
327,86.16065694776721
328,97.62746370114992
329,97.26406961251882
330,94.25168320154162
331,93.5766458929557
332,113.48976226734742
333,105.30225372164037
334,91.71114635474868
335,71.83434906239748
336,112.04622844618764
337,122.1725269322657
338,104.99794217978567
339,120.06886169574739
340,114.2236143996878
341,114.1100612157957
342,96.65321306861226
343,109.08338296007119
344,89.47354856598992
345,93.91898461065965
346,76.08276381511271
347,91.17739166744693
348,84.93994876503496
349,87.9537189991968
350,77.44713863562274
351,71.53181214096337
352,65.0626361181627
353,62.10548981572412
354,95.45137916075252
355,91.99169960244413
356,72.36977426797797
357,83.16289553432559
358,73.2213909240652
359,82.73659208261236
360,89.69108666847147
361,89.68529105414461
362,86.30767021550663
363,85.40926687568374
364,89.31427363697694
365,101.55376929239674
366,99.11899878019764
367,75.58821868244362
368,73.83575470493206
369,96.20733007700503
370,139.35754544152923
371,99.50705401438177
372,78.46865280247587
373,82.7781362386015
374,87.60381561084168
375,81.23890759008998
376,98.97227410796752
377,78.15547902619652
378,104.77117569823541
379,92.78015488115308
380,120.22645545886435
381,95.0969302189875
382,86.60066409821971
383,80.11226585312406
384,86.73840521094833
385,70.06682415086577
386,97.4818851559639
387,104.53040341236104
388,97.00908840546252
389,88.0638111920182
390,85.14304581937468
391,89.25731227643709
392,87.05164798735952
393,95.12629804706465
394,93.5826730225308
395,82.5019825955823
396,80.65539527576972
397,77.76471260443093
398,86.26142021891071
399,87.2064415141003
400,87.9145510749254
401,76.07489548652823
402,81.74103985075315
403,70.50372785850374
404,72.92442494799886
405,73.28176756130868
406,81.39226309185999
407,102.85932671695693
408,80.16853614504815
409,71.36295778221074
410,78.258855307232
411,98.7061936208308
412,90.9441576122181
413,108.05898102543999
414,85.55767021647279
415,95.80573337503617
416,104.31153808661058
417,80.27570850193767
418,97.83881323238585
419,87.31730132133426
420,74.82472269156914
421,81.7604736045378
422,79.9640611928899
423,83.08419149256741
424,82.65686335141265
425,84.21963655979633
426,95.92880610397563
427,89.97668021835449
428,69.92706460336217
429,0.17516997416838515
430,0.6139718386811668
431,0.6633472807142071
432,0.27894911543689926
433,0.4042612410791544
434,0.6894515352260913
435,0.5176862723965913
436,0.1951305976991548
437,0.6631366329862802
438,0.4031171871100291
439,0.7072052824384603
440,0.7093135759921991
441,0.6618482480941719
442,0.7866917066872363
443,0.651441703583877
444,0.5210390139198482
445,0.778321038014171
446,0.3198045869957896
447,0.310623809095573
448,0.6436705454827022
449,0.6548691772681926
450,0.7890485799586513
451,0.4402450947457176
452,0.18445549967513114
453,0.4142004156116341
454,0.7717265259593288
455,0.8423111963005423
456,0.7318573156631928
457,0.5565447543259976
458,0.3818344768917003
459,0.5849439662551786
460,0.7580093889566528
461,0.8329574005709103
462,0.7211803443693754
463,0.1528444622805638
464,0.8764484880132973
465,0.4187453195857619
466,0.6564323670084612
467,0.4363484169867544
468,0.15781270028712402
469,0.14514421708270253
470,0.6386221121023773
471,0.47522018339095345
472,0.8927545318374521
473,0.43259169808884257
474,0.6099699534496205
475,0.8492391778716268
476,0.4696131993736077
477,0.39983303264285386
478,0.6693365323399579
479,0.5537130090993603
480,0.5863193126662534
481,0.4102820301368967
482,0.8452586419095403
483,0.5796224282958417
484,0.5146100852027613
485,0.7925787444055448
486,0.4458362549284673
487,0.19826363364312588
488,0.8776795331585729
489,0.8338058007098239
490,0.49646823977931553
491,0.5437119194964237
492,0.4837789946846457
493,0.7177821653981192
494,0.821850168777136
495,0.44989930559105407
496,0.32821969011089486
497,0.6202822935949944
498,0.5755780439604381
499,0.4857138273046316
500,0.5008524100590274
501,0.1689287127418156
502,0.7365805268304706
503,0.6529677159259628
504,0.8740699879537894
505,0.7957596905667383
506,0.7265250944125601
507,0.8480897918913051
508,0.8250215760597532
509,0.7371415684185516
510,0.6769519004086096
511,0.5508130943031124
512,0.5192541809266864
513,0.759677730905458
514,0.6966439811823455
515,0.7099651047469943
516,0.663600129550309
517,0.8785360902819546
518,0.6737340582560858
519,0.30085854199443907
520,0.7273999926729869
521,0.4041368907495601
522,0.5668839383580713
523,0.46908682624554005
524,0.8009907614855913
525,0.8668182176251051
526,0.15072254013205916
527,0.6507083660785737
528,0.1534977574233884
529,0.33412940139016545
530,0.44377043552197587
531,0.38435194447849796
532,0.8582847694202789
533,0.8708373261608315
534,0.3143395557146733
535,0.5569703824819945
536,0.40056554706633224
537,0.6064989941486043
538,0.8819080218178934
539,0.49873856251850757
540,0.5381717986890231
541,0.6025347298632158
542,0.4818747953109143
543,0.10199689858348349
544,0.49832306889363337
545,0.46796396855326694
546,0.6365369896153792
547,0.4215077584159209
548,0.6977053758641825
549,255.05658516184926
